GO,Cluster,Function
GO:0008216,4,P:spermidine metabolic process
GO:0045900,29,P:negative regulation of translational elongation
GO:0140018,23,P:regulation of cytoplasmic translational fidelity
GO:1904046,39,P:negative regulation of vascular endothelial growth factor production
GO:0060876,23,P:semicircular canal formation
GO:0097377,34,P:spinal cord interneuron axon guidance
GO:0160075,43,P:non-canonical inflammasome complex assembly
GO:1900047,39,P:negative regulation of hemostasis
GO:0035964,23,P:COPI-coated vesicle budding
GO:0106273,23,P:cytosol to ERGIC protein transport
GO:0106272,8,P:protein localization to ERGIC
GO:0048199,23,"P:vesicle targeting, to, from or within Golgi"
GO:1904797,39,P:negative regulation of core promoter binding
GO:0009154,11,P:purine ribonucleotide catabolic process
GO:0015964,11,P:diadenosine triphosphate catabolic process
GO:0110097,41,P:regulation of calcium import into the mitochondrion
GO:1904227,39,"P:negative regulation of glycogen synthase activity, transferring glucose-1-phosphate"
GO:0010905,11,P:negative regulation of UDP-glucose catabolic process
GO:0071879,45,P:positive regulation of adenylate cyclase-activating adrenergic receptor signaling pathway
GO:0106027,23,P:neuron projection organization
GO:0150101,23,P:regulation of microtubule anchoring at centrosome
GO:0006711,11,P:estrogen catabolic process
GO:0046054,4,P:dGMP metabolic process
GO:0046657,11,P:folic acid catabolic process
GO:0009396,17,P:folic acid-containing compound biosynthetic process
GO:0006288,23,"P:base-excision repair, DNA ligation"
GO:0090298,36,P:negative regulation of mitochondrial DNA replication
GO:0051102,23,P:DNA ligation involved in DNA recombination
GO:0075713,23,P:establishment of integrated proviral latency
GO:0097552,23,P:mitochondrial double-strand break repair via homologous recombination
GO:0002033,33,P:angiotensin-mediated vasodilation involved in regulation of systemic arterial blood pressure
GO:0001991,33,P:regulation of systemic arterial blood pressure by circulatory renin-angiotensin
GO:0001695,11,P:histamine catabolic process
GO:0009309,17,P:amine biosynthetic process
GO:1902358,20,P:sulfate transmembrane transport
GO:1903920,42,P:positive regulation of actin filament severing
GO:0061103,30,P:carotid body glomus cell differentiation
GO:0071259,12,P:cellular response to magnetism
GO:0061100,30,P:lung neuroendocrine cell differentiation
GO:0007400,23,P:neuroblast fate determination
GO:0003359,23,P:noradrenergic neuron fate commitment
GO:0060165,23,P:regulation of timing of subpallium neuron differentiation
GO:0071245,12,P:cellular response to carbon monoxide
GO:1903394,8,P:protein localization to kinetochore involved in kinetochore assembly
GO:0038168,45,P:epidermal growth factor receptor signaling pathway via I-kappaB kinase/NF-kappaB cascade
GO:1903280,41,P:negative regulation of calcium:sodium antiporter activity
GO:0021989,23,P:olfactory cortex development
GO:0044795,23,P:trans-Golgi network to recycling endosome transport
GO:0043316,23,P:cytotoxic T cell degranulation
GO:0036257,23,P:multivesicular body organization
GO:1903435,42,P:positive regulation of constitutive secretory pathway
GO:0033567,23,"P:DNA replication, Okazaki fragment processing"
GO:0019402,4,P:galactitol metabolic process
GO:0061623,23,P:glycolytic process from galactose
GO:0050432,23,P:catecholamine secretion
GO:1900114,38,P:positive regulation of histone H3-K9 trimethylation
GO:0099191,23,P:trans-synaptic signaling by BDNF
GO:0014859,28,P:negative regulation of skeletal muscle cell proliferation
GO:0046458,4,P:hexadecanal metabolic process
GO:0006714,4,P:sesquiterpenoid metabolic process
GO:0010171,23,P:body morphogenesis
GO:0036111,4,P:very long-chain fatty-acyl-CoA metabolic process
GO:0035962,23,P:response to interleukin-13
GO:1904156,23,P:DN3 thymocyte differentiation
GO:0048290,23,P:isotype switching to IgA isotypes
GO:0001698,23,P:gastrin-induced gastric acid secretion
GO:0032347,17,P:regulation of aldosterone biosynthetic process
GO:1902908,23,P:regulation of melanosome transport
GO:0060562,23,P:epithelial tube morphogenesis
GO:2000696,6,P:regulation of epithelial cell differentiation involved in kidney development
GO:1903126,39,P:negative regulation of centriole-centriole cohesion
GO:0080120,23,P:CAAX-box protein maturation
GO:0031034,23,P:myosin filament assembly
GO:0070376,23,P:regulation of ERK5 cascade
GO:0002731,10,P:negative regulation of dendritic cell cytokine production
GO:0045221,39,P:negative regulation of FasL production
GO:0000710,23,P:meiotic mismatch repair
GO:0019518,11,P:L-threonine catabolic process to glycine
GO:1901565,11,P:organonitrogen compound catabolic process
GO:0003421,23,P:growth plate cartilage axis specification
GO:1903403,39,P:negative regulation of renal phosphate excretion
GO:0002002,23,P:regulation of angiotensin levels in blood
GO:0003131,23,P:mesodermal-endodermal cell signaling
GO:0033273,23,P:response to vitamin
GO:0034398,23,P:telomere tethering at nuclear periphery
GO:0003168,23,P:Purkinje myocyte differentiation
GO:0003285,23,P:septum secundum development
GO:1905962,23,P:glutamatergic neuron differentiation
GO:0120007,39,P:negative regulation of glutamatergic neuron differentiation
GO:0006843,20,P:mitochondrial citrate transmembrane transport
GO:1904550,23,P:response to arachidonic acid
GO:1904094,42,P:positive regulation of autophagic cell death
GO:0002834,23,P:regulation of response to tumor cell
GO:1905280,39,"P:negative regulation of retrograde transport, endosome to Golgi"
GO:0018063,23,P:cytochrome c-heme linkage
GO:1904679,49,P:myo-inositol import across plasma membrane
GO:0015791,20,P:polyol transmembrane transport
GO:0030397,23,P:membrane disassembly
GO:1904177,5,P:regulation of adipose tissue development
GO:0051780,23,P:behavioral response to nutrient
GO:0015728,23,P:mevalonate transport
GO:0046745,23,P:viral capsid secondary envelopment
GO:0051053,36,P:negative regulation of DNA metabolic process
GO:0090329,23,P:regulation of DNA-templated DNA replication
GO:0032901,42,P:positive regulation of neurotrophin production
GO:1904850,8,P:negative regulation of establishment of protein localization to telomere
GO:1904914,39,P:negative regulation of establishment of protein-containing complex localization to telomere
GO:1904911,39,P:negative regulation of establishment of RNA localization to telomere
GO:1904792,43,P:positive regulation of shelterin complex assembly
GO:0019376,11,P:galactolipid catabolic process
GO:0006437,7,P:tyrosyl-tRNA aminoacylation
GO:0106030,23,P:neuron projection fasciculation
GO:0034285,23,P:response to disaccharide
GO:1904389,30,P:rod bipolar cell differentiation
GO:0097577,23,P:sequestering of iron ion
GO:0070570,23,P:regulation of neuron projection regeneration
GO:0034284,23,P:response to monosaccharide
GO:0006592,17,P:ornithine biosynthetic process
GO:0014739,24,P:positive regulation of muscle hyperplasia
GO:0045795,2,P:positive regulation of cell volume
GO:0090340,42,P:positive regulation of secretion of lysosomal enzymes
GO:0010189,17,P:vitamin E biosynthetic process
GO:0036483,13,P:neuron intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress
GO:0072389,11,P:flavin adenine dinucleotide catabolic process
GO:1903007,42,P:positive regulation of Lys63-specific deubiquitinase activity
GO:0021543,23,P:pallium development
GO:0010712,4,P:regulation of collagen metabolic process
GO:0070963,42,P:positive regulation of neutrophil mediated killing of gram-negative bacterium
GO:0099109,45,"P:potassium channel activating, G protein-coupled receptor signaling pathway"
GO:0034377,3,P:plasma lipoprotein particle assembly
GO:0070734,23,P:histone H3-K27 methylation
GO:2001161,38,P:negative regulation of histone H3-K79 methylation
GO:0070227,14,P:lymphocyte apoptotic process
GO:0002412,23,P:antigen transcytosis by M cells in mucosal-associated lymphoid tissue
GO:0006175,17,P:dATP biosynthetic process
GO:1900369,39,P:negative regulation of post-transcriptional gene silencing by RNA
GO:0002566,23,P:somatic diversification of immune receptors via somatic mutation
GO:0072274,23,P:metanephric glomerular basement membrane development
GO:0061144,23,P:alveolar secondary septum development
GO:1902691,30,P:respiratory basal cell differentiation
GO:0042182,11,P:ketone catabolic process
GO:0015740,23,P:C4-dicarboxylate transport
GO:0002416,23,P:IgG immunoglobulin transcytosis in epithelial cells mediated by FcRn immunoglobulin receptor
GO:0097376,34,P:interneuron axon guidance
GO:0002780,17,P:antibacterial peptide biosynthetic process
GO:1902626,23,P:assembly of large subunit precursor of preribosome
GO:1900826,46,P:negative regulation of membrane depolarization during cardiac muscle cell action potential
GO:0060299,39,P:negative regulation of sarcomere organization
GO:0051394,23,P:regulation of nerve growth factor receptor activity
GO:0038009,23,P:regulation of signal transduction by receptor internalization
GO:1905474,13,P:canonical Wnt signaling pathway involved in stem cell proliferation
GO:0060064,48,P:Spemann organizer formation at the anterior end of the primitive streak
GO:0090676,20,P:calcium ion transmembrane transport via low voltage-gated calcium channel
GO:0003136,13,P:negative regulation of heart induction by canonical Wnt signaling pathway
GO:2000081,13,P:positive regulation of canonical Wnt signaling pathway involved in controlling type B pancreatic cell proliferation
GO:0048337,9,P:positive regulation of mesodermal cell fate specification
GO:0021874,13,P:Wnt signaling pathway involved in forebrain neuroblast division
GO:0030237,23,P:female sex determination
GO:0072273,23,P:metanephric nephron morphogenesis
GO:2000180,1,P:negative regulation of androgen biosynthetic process
GO:2000019,39,P:negative regulation of male gonad development
GO:0061369,39,P:negative regulation of testicular blood vessel morphogenesis
GO:0038030,13,P:non-canonical Wnt signaling pathway via MAPK cascade
GO:2000066,17,P:positive regulation of cortisol biosynthetic process
GO:0060482,23,P:lobar bronchus development
GO:0072060,23,P:outer medullary collecting duct development
GO:0032536,15,P:regulation of cell projection size
GO:0021842,23,P:chemorepulsion involved in interneuron migration from the subpallium to the cortex
GO:1904377,8,P:positive regulation of protein localization to cell periphery
GO:0031268,23,P:pseudopodium organization
GO:0019101,23,P:female somatic sex determination
GO:0060014,30,P:granulosa cell differentiation
GO:1905041,23,P:regulation of epithelium regeneration
GO:2001113,12,P:negative regulation of cellular response to hepatocyte growth factor stimulus
GO:1902203,45,P:negative regulation of hepatocyte growth factor receptor signaling pathway
GO:1905520,42,P:positive regulation of presynaptic active zone assembly
GO:0090126,43,P:protein-containing complex assembly involved in synapse maturation
GO:0010557,17,P:positive regulation of macromolecule biosynthetic process
GO:2000812,23,P:regulation of barbed-end actin filament capping
GO:0009751,23,P:response to salicylic acid
GO:0032738,42,P:positive regulation of interleukin-15 production
GO:0035665,45,P:TIRAP-dependent toll-like receptor 4 signaling pathway
GO:0140739,43,P:NLRP6 inflammasome complex assembly
GO:0070255,23,P:regulation of mucus secretion
GO:0045751,13,P:negative regulation of Toll signaling pathway
GO:0032661,23,P:regulation of interleukin-18 production
GO:0032879,23,P:regulation of localization
GO:1900758,39,P:negative regulation of D-amino-acid oxidase activity
GO:0034156,45,P:negative regulation of toll-like receptor 7 signaling pathway
GO:0035783,47,"P:CD4-positive, alpha-beta T cell costimulation"
GO:0034238,23,P:macrophage fusion
GO:0043128,40,P:positive regulation of 1-phosphatidylinositol 4-kinase activity
GO:1905676,42,P:positive regulation of adaptive immune memory response
GO:0019242,17,P:methylglyoxal biosynthetic process
GO:0098990,45,P:AMPA selective glutamate receptor signaling pathway
GO:2000808,39,P:negative regulation of synaptic vesicle clustering
GO:0032535,23,P:regulation of cellular component size
GO:0072749,12,P:cellular response to cytochalasin B
GO:0051623,42,P:positive regulation of norepinephrine uptake
GO:0021894,23,P:cerebral cortex GABAergic interneuron development
GO:0046101,17,P:hypoxanthine biosynthetic process
GO:0050792,23,P:regulation of viral process
GO:1901327,23,P:response to tacrolimus
GO:0033182,38,P:regulation of histone ubiquitination
GO:0090387,23,P:phagolysosome assembly involved in apoptotic cell clearance
GO:1902167,13,P:positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
GO:1904803,12,P:regulation of translation involved in cellular response to UV
GO:1905302,39,P:negative regulation of macropinocytosis
GO:1904050,42,P:positive regulation of spontaneous neurotransmitter secretion
GO:2000764,13,P:positive regulation of semaphorin-plexin signaling pathway involved in outflow tract morphogenesis
